Model,Accuracy,Precision (User),Recall (User),AUC-ROC,Train F1,Test F1,F1 Gap,Support Vectors
SVM,0.8037,0.8377,0.8775,0.8555,0.8461,0.801,0.0451,661
Logistic Regression,0.7984,0.8391,0.8656,0.8634,0.8261,0.7966,0.0295,N/A
Naive Bayes,0.7745,0.8529,0.8024,0.8422,0.8102,0.7775,0.0327,N/A
KNN,0.8037,0.8429,0.8696,0.8724,0.8329,0.802,0.0309,N/A
Random Forest,0.8011,0.8739,0.8221,0.8674,0.8899,0.8037,0.0862,N/A
