,C,solver,class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,gamma,kernel
Logistic Regression,0.1,lbfgs,,,,,,,,
Random Forest,,,balanced,10,sqrt,4,20,200,,
SVM,10,,,,,,,,0.01,rbf
