Model,Accuracy,Precision (User),Recall (User),AUC-ROC,Train F1,Test F1,F1 Gap,Support Vectors,Decision Threshold
SVM,0.8037,0.8377,0.8775,0.8555,0.8461,0.801,0.0451,661,
Logistic Regression,0.7984,0.8391,0.8656,0.8634,0.8261,0.7966,0.0295,N/A,
Random Forest,0.7931,0.8755,0.8063,0.8651,0.8791,0.7966,0.0825,N/A,
Stacking Ensemble (Gradient Boosting Meta),0.8302,0.8387,0.9249,0.8684,0.8462,0.8244,0.0218,,0.4556
