Model,User Recall,User Precision,User F1,False Negatives,Non-User Recall
Logistic Regression,0.8656,0.8391,0.8521,34,0.6613
Naive Bayes,0.8024,0.8529,0.8269,50,0.7177
KNN,0.8696,0.8429,0.856,33,0.6694
Random Forest,0.8221,0.8739,0.8473,45,0.7581
SVM,0.8775,0.8377,0.8571,31,0.6532
